razina;datoteka;sirina;visina;piksela;opis;gotovo
Razina 1 — teren;grad-teren-trava-1.png;32;32;1024;osnovna trava, mirna tekstura bez uzorka koji se ponavlja;
Razina 1 — teren;grad-teren-trava-2.png;32;32;1024;trava, varijanta s nekoliko vlati — razbija ponavljanje;
Razina 1 — teren;grad-teren-trava-3.png;32;32;1024;trava s kamenčićem, rijetka varijanta (1 od 10 pločica);
Razina 1 — teren;grad-teren-trava-cvijece.png;32;32;1024;trava s tri-četiri sitna cvijeta;
Razina 1 — teren;grad-teren-zemlja.png;32;32;1024;utabana zemljana staza, park i šumska staza;
Razina 1 — teren;grad-teren-kaldrma.png;32;32;1024;kaldrma, glavna ulica i trg;
Razina 1 — teren;grad-teren-plocnik.png;32;32;1024;betonski pločnik uz ceste;
Razina 1 — teren;grad-teren-pijesak.png;32;32;1024;plaža;
Razina 1 — teren;grad-teren-more.png;32;32;1024;morska površina, statična, bez pjene;
Razina 1 — teren;grad-teren-more-plitko.png;32;32;1024;plićak — svjetliji ton, ide uz obalu;
Razina 1 — teren;grad-teren-potok.png;32;32;1024;voda u parku, uža nijansa od mora;
Razina 1 — teren;grad-teren-most.png;32;32;1024;daske mosta preko potoka;
Razina 1 — teren;grad-teren-stube.png;32;32;1024;kamene stube, Ulica stube i Gornji grad;
Razina 1 — teren;grad-teren-parket.png;32;32;1024;parket sportske dvorane;
Razina 1 — teren;grad-teren-travnjak-1.png;32;32;1024;travnjak stadiona, svjetlija pruga;
Razina 1 — teren;grad-teren-travnjak-2.png;32;32;1024;travnjak stadiona, tamnija pruga;
Razina 1 — teren;grad-teren-atletska-staza.png;32;32;1024;crvena tartan staza oko stadiona;
Razina 1 — teren;grad-teren-crta.png;32;32;1024;bijela crta igrališta, ravni komad;
Razina 1 — teren;grad-teren-rub-trava-staza.png;32;32;1024;prijelaz trava→staza, jedan rub (ostatak se dobiva rotacijom);
Razina 1 — teren;grad-teren-rub-trava-pijesak.png;32;32;1024;prijelaz trava→pijesak;
Razina 1 — granice;grad-zid-kameni.png;32;32;1024;suhozid, granica zona i vrtova;
Razina 1 — granice;grad-ograda-drvena.png;32;32;1024;drvena ograda, vodoravni komad;
Razina 1 — granice;grad-ograda-mrezasta.png;32;32;1024;mrežasta ograda, stadion i igralište;
Razina 1 — granice;grad-zivica.png;32;32;1024;živica oko parka;
Razina 1 — granice;grad-obala-kamena.png;32;32;1024;kameni rub obale prema moru;
Razina 1 — granice;grad-molo-rub.png;32;32;1024;rub mola u lučici, daske i bitva;
Razina 1 — zgrade;grad-zgrada-kuca-igrac.png;128;96;12288;tvoja kuća — prepoznatljiva, drukčija boja škura;
Razina 1 — zgrade;grad-zgrada-kuca-1.png;96;96;9216;obična kuća, varijanta A;
Razina 1 — zgrade;grad-zgrada-kuca-2.png;96;96;9216;obična kuća, varijanta B;
Razina 1 — zgrade;grad-zgrada-kuca-3.png;96;96;9216;obična kuća, varijanta C — dvokatnica;
Razina 1 — zgrade;grad-zgrada-knjiznica.png;128;96;12288;knjižnica, veliki prozori;
Razina 1 — zgrade;grad-zgrada-skola.png;160;128;20480;škola, ulaz sa stubama, sat na pročelju;
Razina 1 — zgrade;grad-zgrada-pekara.png;128;96;12288;pekara, izlog s kruhom, tenda;
Razina 1 — zgrade;grad-zgrada-trznica.png;160;96;15360;natkrivena tržnica, otvorena strana sa štandovima;
Razina 1 — zgrade;grad-zgrada-konoba.png;128;96;12288;konoba, stolovi ispred, loza;
Razina 1 — zgrade;grad-zgrada-posta.png;128;96;12288;pošta, žuti detalj, sandučić uz ulaz;
Razina 1 — zgrade;grad-zgrada-muzej.png;160;128;20480;muzej, stupovi, kameno pročelje;
Razina 1 — zgrade;grad-zgrada-kino.png;128;96;12288;kino, plakat i natpis;
Razina 1 — zgrade;grad-zgrada-ambulanta.png;128;96;12288;ambulanta, bijelo pročelje;
Razina 1 — zgrade;grad-zgrada-crkva.png;128;160;20480;crkva sa zvonikom — najviša građevina u gradu;
Razina 1 — zgrade;grad-zgrada-ribarska-kucica.png;96;96;9216;ribarska kućica na rivi, mreže uz zid;
Razina 1 — zgrade;grad-zgrada-dvorana.png;192;128;24576;sportska dvorana, zaobljeni krov, veliki ulaz;
Razina 1 — zgrade;grad-zgrada-stadion.png;192;128;24576;ulaz na stadion s dijelom tribine;
Razina 1 — krupni objekti;grad-objekt-drvo-1.png;64;64;4096;listopadno drvo, gusta krošnja;
Razina 1 — krupni objekti;grad-objekt-drvo-2.png;64;64;4096;drvo, druga silueta — za raznolikost;
Razina 1 — krupni objekti;grad-objekt-cempres.png;32;64;2048;čempres, Gornji grad i groblje;
Razina 1 — krupni objekti;grad-objekt-palma.png;64;80;5120;palma na rivi;
Razina 1 — krupni objekti;grad-objekt-grm.png;32;32;1024;grm, popuna uz zidove;
Razina 1 — krupni objekti;grad-objekt-fontana.png;64;64;4096;fontana na trgu;
Razina 1 — krupni objekti;grad-objekt-paviljon.png;96;64;6144;paviljon u parku, otvoren;
Razina 1 — krupni objekti;grad-objekt-tribina.png;96;64;6144;komad tribine, ponavlja se vodoravno;
Razina 1 — krupni objekti;grad-objekt-gol.png;64;48;3072;nogometni gol s mrežom;
Razina 1 — krupni objekti;grad-objekt-kos.png;32;64;2048;košarkaški koš na stupu;
Razina 1 — krupni objekti;grad-objekt-semafor.png;64;48;3072;semafor s rezultatom na stadionu;
Razina 1 — krupni objekti;grad-objekt-vidikovac.png;64;64;4096;kameni vidikovac s ogradom, Gornji grad;
Razina 1 — igrač;grad-lik-igrac-d.png;32;48;1536;igrač okrenut prema dolje (prema gledatelju);
Razina 1 — igrač;grad-lik-igrac-g.png;32;48;1536;igrač okrenut prema gore (leđa);
Razina 1 — igrač;grad-lik-igrac-l.png;32;48;1536;igrač okrenut lijevo;
Razina 1 — igrač;grad-lik-igrac-r.png;32;48;1536;igrač okrenut desno (može biti zrcaljeni lijevi);
Razina 1 — pomoćno;grad-sjena.png;32;16;512;zajednička ovalna sjena ispod svakog emoji-objekta;
Razina 2 — portreti;grad-portret-igrac.png;64;64;4096;portret uz replike igrača;
Razina 2 — portreti;grad-portret-mara.png;64;64;4096;portret uz repliku — Baka Mara, susjeda;
Razina 2 — portreti;grad-portret-tomislav.png;64;64;4096;portret uz repliku — susjed Tomislav;
Razina 2 — portreti;grad-portret-iva.png;64;64;4096;portret uz repliku — blizanka Iva;
Razina 2 — portreti;grad-portret-ana.png;64;64;4096;portret uz repliku — blizanka Ana;
Razina 2 — portreti;grad-portret-bruno.png;64;64;4096;portret uz repliku — knjižničar Bruno;
Razina 2 — portreti;grad-portret-svirac.png;64;64;4096;portret uz repliku — ulični svirač;
Razina 2 — portreti;grad-portret-novinarka.png;64;64;4096;portret uz repliku — prodavačica novina;
Razina 2 — portreti;grad-portret-starac.png;64;64;4096;portret uz repliku — starac na klupi;
Razina 2 — portreti;grad-portret-vesna.png;64;64;4096;portret uz repliku — prodavačica u pekari Vesna;
Razina 2 — portreti;grad-portret-jela.png;64;64;4096;portret uz repliku — Jela s tržnice;
Razina 2 — portreti;grad-portret-ivo.png;64;64;4096;portret uz repliku — konobar Ivo;
Razina 2 — portreti;grad-portret-dostavljac.png;64;64;4096;portret uz repliku — dostavljač;
Razina 2 — portreti;grad-portret-damir.png;64;64;4096;portret uz repliku — učitelj Damir;
Razina 2 — portreti;grad-portret-luka.png;64;64;4096;portret uz repliku — dječak Luka;
Razina 2 — portreti;grad-portret-sara.png;64;64;4096;portret uz repliku — učenica Sara;
Razina 2 — portreti;grad-portret-kata.png;64;64;4096;portret uz repliku — spremačica Kata;
Razina 2 — portreti;grad-portret-zoran.png;64;64;4096;portret uz repliku — poštar Zoran;
Razina 2 — portreti;grad-portret-nada.png;64;64;4096;portret uz repliku — šalterica Nada;
Razina 2 — portreti;grad-portret-ema.png;64;64;4096;portret uz repliku — Ema iz muzeja;
Razina 2 — portreti;grad-portret-filip.png;64;64;4096;portret uz repliku — čuvar Filip;
Razina 2 — portreti;grad-portret-razvodnik.png;64;64;4096;portret uz repliku — razvodnik u kinu;
Razina 2 — portreti;grad-portret-zupnik.png;64;64;4096;portret uz repliku — župnik;
Razina 2 — portreti;grad-portret-ruza.png;64;64;4096;portret uz repliku — starica Ruža;
Razina 2 — portreti;grad-portret-klesar.png;64;64;4096;portret uz repliku — klesar;
Razina 2 — portreti;grad-portret-slaven.png;64;64;4096;portret uz repliku — vozač Slaven;
Razina 2 — portreti;grad-portret-mate.png;64;64;4096;portret uz repliku — ribar Mate;
Razina 2 — portreti;grad-portret-anka.png;64;64;4096;portret uz repliku — ribarica Anka;
Razina 2 — portreti;grad-portret-turist.png;64;64;4096;portret uz repliku — turist s kartom;
Razina 2 — portreti;grad-portret-djeca.png;64;64;4096;portret uz repliku — djeca koja pecaju;
Razina 2 — portreti;grad-portret-vrtlar.png;64;64;4096;portret uz repliku — vrtlar;
Razina 2 — portreti;grad-portret-zena-psom.png;64;64;4096;portret uz repliku — žena sa psom;
Razina 2 — portreti;grad-portret-petra.png;64;64;4096;portret uz repliku — liječnica Petra;
Razina 2 — portreti;grad-portret-boris.png;64;64;4096;portret uz repliku — trener Boris;
Razina 2 — portreti;grad-portret-dario.png;64;64;4096;portret uz repliku — vratar Dario;
Razina 2 — portreti;grad-portret-lana.png;64;64;4096;portret uz repliku — atletičarka Lana;
Razina 2 — portreti;grad-portret-stipe.png;64;64;4096;portret uz repliku — domar Stipe;
Razina 2 — portreti;grad-portret-kreso.png;64;64;4096;portret uz repliku — navijač Krešo;
Razina 3 — likovi na karti;grad-lik-mara.png;32;48;1536;lik na karti, jedan pogled — Baka Mara, susjeda;
Razina 3 — likovi na karti;grad-lik-tomislav.png;32;48;1536;lik na karti, jedan pogled — susjed Tomislav;
Razina 3 — likovi na karti;grad-lik-iva.png;32;48;1536;lik na karti, jedan pogled — blizanka Iva;
Razina 3 — likovi na karti;grad-lik-ana.png;32;48;1536;lik na karti, jedan pogled — blizanka Ana;
Razina 3 — likovi na karti;grad-lik-bruno.png;32;48;1536;lik na karti, jedan pogled — knjižničar Bruno;
Razina 3 — likovi na karti;grad-lik-svirac.png;32;48;1536;lik na karti, jedan pogled — ulični svirač;
Razina 3 — likovi na karti;grad-lik-novinarka.png;32;48;1536;lik na karti, jedan pogled — prodavačica novina;
Razina 3 — likovi na karti;grad-lik-starac.png;32;48;1536;lik na karti, jedan pogled — starac na klupi;
Razina 3 — likovi na karti;grad-lik-vesna.png;32;48;1536;lik na karti, jedan pogled — prodavačica u pekari Vesna;
Razina 3 — likovi na karti;grad-lik-jela.png;32;48;1536;lik na karti, jedan pogled — Jela s tržnice;
Razina 3 — likovi na karti;grad-lik-ivo.png;32;48;1536;lik na karti, jedan pogled — konobar Ivo;
Razina 3 — likovi na karti;grad-lik-dostavljac.png;32;48;1536;lik na karti, jedan pogled — dostavljač;
