datoteka;vrsta;dimenzije;naslov / opis;koristi
rijec-jabuka.png;slika;512×512;jabuka — apple (Hrana);sve igre
rijec-jabuka.mp3;zvuk;—;izgovor: „jabuka”;sve igre
rijec-banana.png;slika;512×512;banana — banana (Hrana);sve igre
rijec-banana.mp3;zvuk;—;izgovor: „banana”;sve igre
rijec-kruh.png;slika;512×512;kruh — bread (Hrana);sve igre
rijec-kruh.mp3;zvuk;—;izgovor: „kruh”;sve igre
rijec-sir.png;slika;512×512;sir — cheese (Hrana);sve igre
rijec-sir.mp3;zvuk;—;izgovor: „sir”;sve igre
rijec-juha.png;slika;512×512;juha — soup (Hrana);sve igre
rijec-juha.mp3;zvuk;—;izgovor: „juha”;sve igre
rijec-salata.png;slika;512×512;salata — salad (Hrana);sve igre
rijec-salata.mp3;zvuk;—;izgovor: „salata”;sve igre
rijec-riba.png;slika;512×512;riba — fish (Hrana);sve igre
rijec-riba.mp3;zvuk;—;izgovor: „riba”;sve igre
rijec-pita.png;slika;512×512;pita — pie (Hrana);sve igre
rijec-pita.mp3;zvuk;—;izgovor: „pita”;sve igre
rijec-torta.png;slika;512×512;torta — cake (Hrana);sve igre
rijec-torta.mp3;zvuk;—;izgovor: „torta”;sve igre
rijec-cokolada.png;slika;512×512;čokolada — chocolate (Hrana);sve igre
rijec-cokolada.mp3;zvuk;—;izgovor: „čokolada”;sve igre
rijec-sladoled.png;slika;512×512;sladoled — ice cream (Hrana);sve igre
rijec-sladoled.mp3;zvuk;—;izgovor: „sladoled”;sve igre
rijec-jaje.png;slika;512×512;jaje — egg (Hrana);sve igre
rijec-jaje.mp3;zvuk;—;izgovor: „jaje”;sve igre
rijec-rajcica.png;slika;512×512;rajčica — tomato (Hrana);sve igre
rijec-rajcica.mp3;zvuk;—;izgovor: „rajčica”;sve igre
rijec-luk.png;slika;512×512;luk — onion (Hrana);sve igre
rijec-luk.mp3;zvuk;—;izgovor: „luk”;sve igre
rijec-palacinke.png;slika;512×512;palačinke — pancakes (Hrana);sve igre
rijec-palacinke.mp3;zvuk;—;izgovor: „palačinke”;sve igre
rijec-povrce.png;slika;512×512;povrće — vegetables (Hrana);sve igre
rijec-povrce.mp3;zvuk;—;izgovor: „povrće”;sve igre
rijec-voce.png;slika;512×512;voće — fruit (Hrana);sve igre
rijec-voce.mp3;zvuk;—;izgovor: „voće”;sve igre
rijec-ananas.png;slika;512×512;ananas — pineapple (Hrana);sve igre
rijec-ananas.mp3;zvuk;—;izgovor: „ananas”;sve igre
rijec-sendvic.png;slika;512×512;sendvič — sandwich (Hrana);sve igre
